"Set","lf","rth","mas","mp","bll","lp","ldp","psc","qcf","cuesim","dprom","cueweighting","ndistr","Publication","Lang","Method","Measure","WM","Cue","IntType","DistrPos","DepType","VerbType","Prominence1","Prominence2","Prominence","Fit","Fit_Match","Fit_Mismatch","R"
3,0.15,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.4,1,1,"WagersEtAl09E5","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other","other","low",21.5266,15.182,35.4622,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.4,1,1,"WagersEtAl09E6","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other","other","low",1.4213,2.8426,NA,1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2.4,1,3,"VanDykeEtAl06","EN","SPR","RT",NA,"sem","pro","memory_3x","nonagreement","sing","other","other","low",30.3924,30.3924,NA,1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2.4,1,1,"VanDykeEtAl11E2bPro","EN","ET","FPRT",NA,"subj","pro","obj","nonagreement","sing","other","other","low",4.5824,4.5824,NA,1
7,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.4,1,1,"VanDyke07E1LoSyn","EN","SPR","RT",NA,"subj","retro","pp","nonagreement","sing","other","other","low",47.5942,47.5942,NA,1
7,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.4,1,1,"VanDyke07E2LoSyn","EN","ET","FPRT",NA,"subj","retro","pp","nonagreement","sing","other","other","low",36.9974,36.9974,NA,1
6,0.225,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.4,1,1,"VanDyke07E3LoSyn","EN","ET","FPRT",NA,"subj","retro","pp","nonagreement","sing","other","other","low",2.578,2.578,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.4,1,1,"VanDykeEtAl11E2bRetro","EN","ET","FPRT",NA,"subj","retro","obj","nonagreement","sing","other","other","low",4.9219,9.8438,NA,1
7,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-0.9,-2.4,1,1,"KushEtAl14","HI","SPR","RT",NA,"num","retro","prepobj","reci",NA,"other","other","low",3.7118,3.3058,4.1178,1
6,0.225,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2.4,1,1,"BadeckerEtAl02E5","EN","SPR","RT",NA,"gend","pro","gen","refl",NA,"other","other","low",0.1258,0.1258,NA,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2.4,1,1,"BadeckerEtAl02E6","EN","SPR","RT",NA,"gend","pro","prepobj","refl",NA,"other","other","low",0.5084,1.0168,NA,1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2.4,1,3,"JaegerEtAl15E2local","CN","ET","FPRT",NA,"anim","pro","memory_3x","refl",NA,"other","other","low",9.5936,9.5936,NA,1
2,0.125,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.4,1,1,"DillonEtAl13E1refl","EN","ET","FPRT",NA,"num","retro","obj","refl",NA,"other","other","low",3.9268,2.2614,5.5922,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.4,1,1,"DillonEtAl13E2himself","EN","ET","FPRT",NA,"num","retro","obj","refl",NA,"other","other","low",8.8815,16.258,9.634,-1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.4,1,1,"DillonEtAl13E2themselves","EN","ET","FPRT",NA,"num","retro","obj","refl",NA,"other","other","low",11.5197,16.1192,29.9596,-1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2.3,1,1,"FranckEtAl15E1Compl","FR","SPR","RT",NA,"num","pro","obj","agreement","sing","other","other","low",29.5122,29.5122,NA,1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2.3,1,1,"FranckEtAl15E1RC","FR","SPR","RT",NA,"num","pro","obj","agreement","sing","other","other","low",106.877,106.877,NA,1
5,0.2,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.3,1,1,"DillonEtAl13E1agrmt","EN","ET","FPRT",NA,"num","retro","obj","agreement","sing","other","other","low",7.1519,19.3948,4.6064,-1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.3,1,1,"PearlmutterEtAl99E1","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other","other","low",14.1721,37.4274,19.261,-1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.3,1,1,"PearlmutterEtAl99E2","EN","ET","FPRT",NA,"num","retro","pp","agreement","sing","other","other","low",10.96665,38.8794,2.4936,-1
6,0.225,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.3,1,1,"PearlmutterEtAl99E3plu","EN","SPR","RT",NA,"num","retro","pp","agreement","plural","other","other","low",17.1658,17.1658,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.3,1,1,"PearlmutterEtAl99E3sing","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other","other","low",19.5484,39.0968,NA,1
6,0.225,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.3,1,1,"TuckerEtAl2015","AR","SPR","RT",NA,"num","retro","obj","agreement","sing","other","other","low",16.3903,13.4736,26.0438,1
6,0.225,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.3,1,1,"WagersEtAl09E4","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other","other","low",28.519,33.7204,40.1778,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.3,1,1,"WagersEtAl09E5","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other","other","low",22.0476,13.6508,37.2698,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.3,1,1,"WagersEtAl09E6","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other","other","low",1.4163,2.8326,NA,1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2.3,1,3,"VanDykeEtAl06","EN","SPR","RT",NA,"sem","pro","memory_3x","nonagreement","sing","other","other","low",30.0054,30.0054,NA,1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2.3,1,1,"VanDykeEtAl11E2bPro","EN","ET","FPRT",NA,"subj","pro","obj","nonagreement","sing","other","other","low",4.2952,4.2952,NA,1
7,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.3,1,1,"VanDyke07E1LoSyn","EN","SPR","RT",NA,"subj","retro","pp","nonagreement","sing","other","other","low",47.4448,47.4448,NA,1
7,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.3,1,1,"VanDyke07E2LoSyn","EN","ET","FPRT",NA,"subj","retro","pp","nonagreement","sing","other","other","low",36.6394,36.6394,NA,1
7,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.3,1,1,"VanDyke07E3LoSyn","EN","ET","FPRT",NA,"subj","retro","pp","nonagreement","sing","other","other","low",0.7652,0.7652,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.3,1,1,"VanDykeEtAl11E2bRetro","EN","ET","FPRT",NA,"subj","retro","obj","nonagreement","sing","other","other","low",4.8679,9.7358,NA,1
7,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-0.9,-2.3,1,1,"KushEtAl14","HI","SPR","RT",NA,"num","retro","prepobj","reci",NA,"other","other","low",2.7192,3.5524,1.886,1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2.3,1,1,"BadeckerEtAl02E5","EN","SPR","RT",NA,"gend","pro","gen","refl",NA,"other","other","low",0.0471999999999999,0.0471999999999999,NA,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2.3,1,1,"BadeckerEtAl02E6","EN","SPR","RT",NA,"gend","pro","prepobj","refl",NA,"other","other","low",0.4766,0.9532,NA,1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2.3,1,3,"JaegerEtAl15E2local","CN","ET","FPRT",NA,"anim","pro","memory_3x","refl",NA,"other","other","low",9.6682,9.6682,NA,1
3,0.15,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.3,1,1,"DillonEtAl13E1refl","EN","ET","FPRT",NA,"num","retro","obj","refl",NA,"other","other","low",3.8252,3.0392,4.6112,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.3,1,1,"DillonEtAl13E2himself","EN","ET","FPRT",NA,"num","retro","obj","refl",NA,"other","other","low",9.0082,16.9168,9.558,-1
2,0.125,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.3,1,1,"DillonEtAl13E2themselves","EN","ET","FPRT",NA,"num","retro","obj","refl",NA,"other","other","low",11.6118,17.149,29.2982,-1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2.2,1,1,"FranckEtAl15E1Compl","FR","SPR","RT",NA,"num","pro","obj","agreement","sing","other","other","low",28.3526,28.3526,NA,1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2.2,1,1,"FranckEtAl15E1RC","FR","SPR","RT",NA,"num","pro","obj","agreement","sing","other","other","low",106.7226,106.7226,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.2,1,1,"DillonEtAl13E1agrmt","EN","ET","FPRT",NA,"num","retro","obj","agreement","sing","other","other","low",7.70115,17.1582,6.8232,-1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.2,1,1,"PearlmutterEtAl99E1","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other","other","low",13.92005,38.0844,17.5958,-1
2,0.125,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.2,1,1,"PearlmutterEtAl99E2","EN","ET","FPRT",NA,"num","retro","pp","agreement","sing","other","other","low",11.55045,39.937,3.1324,-1
