"","Set","lf","rth","mas","mp","bll","lp","ldp","psc","qcf","cuesim","dprom","cueweighting","ndistr","Publication","Lang","Method","Measure","WM","Cue","IntType","DistrPos","DepType","VerbType","Prominence2","Fit","Fit_Match","Fit_Mismatch","R"
"42",1,0.1,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"VanDykeE2LoSyn","EN","ET","RRT",NA,"subj","retro","pp","nonagreement","sing","other",3.4708,3.4708,NA,1
"43",1,0.1,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"VanDykeEtAl11E1bpro","EN","ET","RRT",NA,"subj","pro","subj","nonagreement","sing","subj_OR_topic",1.0092,1.0092,NA,1
"44",4,0.25,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"VanDykeEtAl11E1bretro","EN","ET","RRT",NA,"subj","pro","subj","nonagreement","sing","subj_OR_topic",47.6412,47.6412,NA,1
"45",20,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,2.5,1,1,"FelserEtAl09noccom","EN","ET","RRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",0.727599999999999,0.727599999999999,NA,1
"46",20,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-1,1,1,"DillonEtAl13E1refl","EN","ET","RRT",NA,"num","retro","obj","refl",NA,"other",3.1843,1.8306,9.076,1
"47",17,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,1,1,1,"Sturt03E2","EN","ET","RRT",NA,"gend","retro","obj_topic","refl",NA,"subj_OR_topic",8.17,16.0508,0.289200000000001,1
"48",20,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,2.5,1,1,"CunningsEtAl13E1LO","EN","ET","RRT","LO","gend","pro","subj_topic","refl",NA,"subj_AND_topic",18.5485,34.6882,2.4088,-1
"49",24,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,3,1,1,"CunningsEtAl13E1HI","EN","ET","RRT","HI","gend","pro","subj_topic","refl",NA,"subj_AND_topic",14.5364,13.5848,30.976,-1
"50",21,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,3,1,1,"CunningsEtAl14E1","EN","ET","RRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",8.89315,0.127,35.3186,-1
"51",42,0.15,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-0.9,-0.5,1,1,"JaegerEtAl15E1","CN","ET","RRT",NA,"anim","retro","subj","refl",NA,"subj_OR_topic",0.406700000000001,0.261600000000001,0.5518,1
"52",1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.5,1,1,"CunningsEtAl13E2LO","EN","ET","RRT","LO","gend","retro","subj_topic","refl",NA,"subj_AND_topic",32.75355,33.8206,63.373,1
"53",1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.5,1,1,"CunningsEtAl13E2HI","EN","ET","RRT","HI","gend","retro","subj_topic","refl",NA,"subj_AND_topic",7.8283,6.6474,9.0092,1
"54",16,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,2,1,1,"Sturt03E1","EN","ET","RRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",17.0302,30.556,3.5044,-1
"55",19,0.2,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,2.5,1,1,"FelserEtAl09inaccMism","EN","ET","RRT",NA,"ccom","pro","subj_topic","refl",NA,"subj_AND_topic",0.3164,0.3164,NA,1
"56",1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-3,1,3,"JaegerEtAl15E2","CN","ET","RRT",NA,"anim","pro","memory_3x","refl",NA,"other",7.2946,14.5892,NA,1
"57",4,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-1,1,1,"PatilEtAl2016","EN","ET","RRT",NA,"gend","retro","subj","refl",NA,"subj_OR_topic",4.8816,5.3524,8.8216,1
"58",24,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-0.5,1,1,"DillonEtAl13E1agrmt","EN","ET","RRT",NA,"num","retro","obj","agreement","sing","other",50.8497,11.0044,90.695,1
