"Set","lf","rth","mas","mp","bll","lp","ldp","psc","qcf","cuesim","dprom","cueweighting","ndistr","Publication","Lang","Method","Measure","WM","Cue","IntType","DistrPos","DepType","VerbType","Prominence2","Fit","Fit_Match","Fit_Mismatch","R"
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"VanDykeEtAl11E2bpro","EN","ET","FPRT",NA,"subj","pro","obj","nonagreement","sing","other",5.037,5.037,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"VanDykeEtAl11E2bretro","EN","ET","FPRT",NA,"subj","retro","obj","nonagreement","sing","other",10.9686,21.9372,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"VanDyke07E3LoSyn","EN","ET","FPRT",NA,"subj","retro","pp","nonagreement","sing","other",7.2626,7.2626,NA,1
4,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"VanDyke07E1LoSyn","EN","SPR","RT",NA,"subj","retro","pp","nonagreement","sing","other",15.2292,15.2292,NA,1
4,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"VanDykeE2LoSyn","EN","ET","FPRT",NA,"subj","retro","pp","nonagreement","sing","other",6.8638,6.8638,NA,1
2,0.15,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,3,"VanDykeEtAl06","EN","SPR","RT",NA,"sem","pro","memory_3x","nonagreement","sing","other",4.8,4.8,NA,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"VanDykeEtAl11E1bpro","EN","ET","FPRT",NA,"subj","pro","subj","nonagreement","sing","subj_OR_topic",7.514,7.514,NA,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"VanDykeEtAl11E1bretro","EN","ET","FPRT",NA,"subj","pro","subj","nonagreement","sing","subj_OR_topic",7.0246,14.0492,NA,1
4,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"WagersEtAl09E5","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other",11.94365,45.0158,1.3794,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"WagersEtAl09E6","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other",8.0301,16.0602,NA,1
1,0.1,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"BadeckerEtAl02E5","EN","SPR","RT",NA,"gend","pro","gen","refl",NA,"other",11.8686,11.8686,NA,1
1,0.1,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"BadeckerEtAl02E6","EN","SPR","RT",NA,"gend","pro","prepobj","refl",NA,"other",7.0818,14.1636,NA,1
1,0.1,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"FelserEtAl09noccom","EN","ET","FPRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",11.5028,11.5028,NA,1
1,0.1,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"DillonEtAl13E1refl","EN","ET","FPRT",NA,"num","retro","obj","refl",NA,"other",8.3609,19.1752,14.2684,-1
1,0.1,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"Sturt03E2","EN","ET","FPRT",NA,"gend","retro","obj_topic","refl",NA,"subj_OR_topic",7.56715,1.3944,27.4798,-1
1,0.1,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"CunningsEtAl13E1LO","EN","ET","FPRT","LO","gend","pro","subj_topic","refl",NA,"subj_AND_topic",10.1966,19.3644,10.711,-1
